,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
5,52,XRP,XRP,xrp,1239,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-05T13:21:00.000Z,0.6536877062230046,3917889697.1135473,43.8676,0.27543778,-0.43957001,17.047688,27.54775294,14.17729822,4.59599975,35733205220.97946,1.4061,65368770622.3,,2024-03-05T13:21:00.000Z,,,,,,,2024-03-05 13:21:53.593471
6,3408,USDC,USDC,usd-coin,17026,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28906133249.68503,28906133249.68503,False,,7,,,,2024-03-05T13:21:00.000Z,1.0000024914445145,12540368003.616964,70.8939,0.0065116,0.01561266,-0.00156059,-0.01452898,-0.01656614,-0.00042644,28906205267.71215,1.1388,28906205267.71,,2024-03-05T13:21:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,2024-03-05 13:21:53.593471
7,2010,Cardano,ADA,cardano,1088,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35489311605.334,36671429496.447,False,,8,,,,2024-03-05T13:20:00.000Z,0.7786169415931453,1418779545.3901348,6.8109,0.64316665,-0.50203615,24.79167079,53.39523768,42.84750978,74.24730144,27632579261.391277,1.0901,35037762371.69,,2024-03-05T13:20:00.000Z,,,,,,,2024-03-05 13:21:53.593471
8,74,Dogecoin,DOGE,dogecoin,905,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143340996383.70523,143340996383.70523,True,,9,,,,2024-03-05T13:21:00.000Z,0.18855519834447193,8072959384.729418,61.9087,2.49648629,15.51162581,97.51738751,138.50826287,127.88383815,84.16264918,27027690004.023773,1.0648,27027690004.02,,2024-03-05T13:21:00.000Z,,,,,,,2024-03-05 13:21:53.593471
9,5994,Shiba Inu,SHIB,shiba-inu,752,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,10,,,,2024-03-05T13:20:00.000Z,4.379328660524969e-05,14647744618.277401,254.0443,7.59724526,63.12415879,310.54869772,384.35834757,349.16424829,334.02014449,25806920061.158905,1.0167,25817635213.28,,2024-03-05T13:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,,2024-03-05 13:21:53.593471
10,5805,Avalanche,AVAX,avalanche,677,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377259571.57587457,435949211.57587457,False,,11,,,,2024-03-05T13:20:00.000Z,43.0377658301077,899105161.9183,53.7051,0.07793314,-1.56711791,9.03465701,19.64967822,16.58009071,63.81816929,16236409098.649246,0.6405,30987191397.68,,2024-03-05T13:20:00.000Z,,,,,,,2024-03-05 13:21:53.593471
11,6636,Polkadot,DOT,polkadot-new,699,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1285987117.880501,1418247619.5888526,True,,12,,,,2024-03-05T13:20:00.000Z,10.448700117104417,1007477881.199492,21.0047,-0.19869521,3.28610081,28.69408459,53.67308633,38.87115801,73.40030764,13436893749.192762,0.5294,14818844068.88,,2024-03-05T13:20:00.000Z,,,,,,,2024-03-05 13:21:53.593471
12,1958,TRON,TRX,tron,939,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87940005854.41333,87940129512.87358,True,,13,71659659264.0,10012966638.798561,,2024-03-05T13:20:00.000Z,0.13972947599304064,518955311.3391376,40.2751,0.03077606,-0.69663671,-1.51424945,17.65808416,33.20555264,33.31896952,12287810936.8621,0.4848,12287828215.59,,2024-03-05T13:20:00.000Z,,,,,,,2024-03-05 13:21:53.593471
13,1975,Chainlink,LINK,chainlink,1669,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-05T13:20:00.000Z,20.69809494151041,848630449.3801081,50.8807,-0.37167086,0.05605908,8.03274202,14.22321318,45.68494664,32.03410233,12151850928.589735,0.4794,20698094941.51,,2024-03-05T13:20:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,,2024-03-05 13:21:53.593471
14,3890,Polygon,MATIC,polygon,1299,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9899164996.485016,10000000000.0,False,,15,,,,2024-03-05T13:20:00.000Z,1.1416424938227647,1252079239.6584852,70.1273,-0.05882523,2.40959362,9.11243719,46.0663034,34.45710849,37.25509538,11301307413.350174,0.4452,11416424938.23,,2024-03-05T13:20:00.000Z,,,,,,,2024-03-05 13:21:53.593471
